Object_ID,Provinsi,Tanggal,Kasus_Terkonfirmasi_Akumulatif,Penambahan_Harian_Kasus_Terkonf,Kasus_Sembuh_Akumulatif,Penambahan_Harian_Kasus_Sembuh,Kasus_Meninggal_Akumulatif,Penambahan_Harian_Kasus_Meningg,Kasus_Aktif_Akumulatif,CFR_Harian,RI_Harian,FID,ObjectId,Cluster
120.0,Kalimantan Selatan,2020/03/05 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,120.0,3691,0
121.0,Kalimantan Utara,2020/03/05 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,121.0,3692,0
122.0,Kepulauan Riau,2020/03/05 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,122.0,3693,0
123.0,Nusa Tenggara Barat,2020/03/05 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,123.0,3694,0
124.0,Sumatera Selatan,2020/03/05 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,124.0,3695,0
125.0,Sumatera Barat,2020/03/05 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,125.0,3696,0
126.0,Sulawesi Utara,2020/03/05 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,126.0,3697,0
127.0,Sumatera Utara,2020/03/05 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,127.0,3698,0
128.0,Sulawesi Tenggara,2020/03/05 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,128.0,3699,0
129.0,Sulawesi Selatan,2020/03/05 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,129.0,3700,0
130.0,Sulawesi Tengah,2020/03/05 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,130.0,3701,0
131.0,Lampung,2020/03/05 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,131.0,3702,0
132.0,Riau,2020/03/05 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,132.0,3703,0
133.0,Maluku Utara,2020/03/05 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,133.0,3704,0
134.0,Maluku,2020/03/05 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,134.0,3705,0
135.0,Papua Barat,2020/03/05 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,135.0,3706,0
136.0,Papua,2020/03/05 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,136.0,3707,0
137.0,Sulawesi Barat,2020/03/05 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,137.0,3708,0
138.0,Nusa Tenggara Timur,2020/03/05 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,138.0,3709,0
139.0,Gorontalo,2020/03/05 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,139.0,3710,0
140.0,Indonesia,2020/03/05 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,140.0,3711,0
141.0,Aceh,2020/03/06 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,141.0,3712,0
142.0,Bali,2020/03/06 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,142.0,3713,0
143.0,Banten,2020/03/06 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,143.0,3714,0
144.0,Kepulauan Bangka Belitung,2020/03/06 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,144.0,3715,0
145.0,Bengkulu,2020/03/06 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,145.0,3716,0
146.0,Daerah Istimewa Yogyakarta,2020/03/06 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,146.0,3717,0
147.0,DKI Jakarta,2020/03/06 00:00:00+00,4.0,2.0,0.0,0.0,0.0,0.0,4.0,0.00000,0.00000,147.0,3718,0
148.0,Jambi,2020/03/06 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,148.0,3719,0
149.0,Jawa Barat,2020/03/06 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,149.0,3720,0
150.0,Jawa Tengah,2020/03/06 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,150.0,3721,0
151.0,Jawa Timur,2020/03/06 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,151.0,3722,0
152.0,Kalimantan Barat,2020/03/06 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,152.0,3723,0
153.0,Kalimantan Timur,2020/03/06 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,153.0,3724,0
154.0,Kalimantan Tengah,2020/03/06 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,154.0,3725,0
155.0,Kalimantan Selatan,2020/03/06 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,155.0,3726,0
